ID compra,ID cliente,Programa de cashback,Idade,Sexo biológico,Avaliação da compra
6,6149,Sim,30,Masculino,10
5,9491,Sim,36,Masculino,9
9,5288,Não,39,Feminino,9
4,9679,Sim,35,Masculino,10
8,1380,Não,50,Masculino,9
2,2771,Não,45,Masculino,10
3,1960,Não,35,Feminino,10
1,5146,Não,43,Feminino,9
7,3106,Não,35,Masculino,10
11,8765,Sim,32,Feminino,10
19,9528,Sim,32,Masculino,9
13,9030,Não,46,Feminino,10
12,5203,Sim,26,Feminino,10
14,2781,Sim,35,Masculino,9
17,9813,Sim,18,Masculino,9
16,1012,Não,40,Feminino,10
18,6492,Não,18,Masculino,9
10,1055,Sim,23,Feminino,10
15,9682,Não,48,Masculino,10
20,4825,Não,43,Masculino,10
26,1632,Sim,18,Feminino,9
27,1049,Não,56,Feminino,9
22,2291,Não,51,Feminino,9
29,2134,Sim,39,Masculino,9
28,1955,Não,51,Masculino,10
25,2411,Não,45,Masculino,9
21,6284,Não,40,Feminino,9
24,9153,Não,34,Masculino,10
23,6192,Não,36,Masculino,7
30,2269,Não,43,Masculino,1
36,4977,Sim,33,Feminino,10
31,5768,Sim,35,Masculino,10
34,8471,Sim,35,Masculino,10
32,3966,Sim,34,Feminino,9
35,9430,Sim,18,Masculino,10
39,8319,Sim,39,Feminino,9
38,9012,Não,45,Feminino,9
33,4240,Sim,32,Feminino,10
37,7956,Não,28,Masculino,9
42,1777,Não,46,Masculino,9
47,7178,Não,43,Feminino,10
46,7791,Não,51,Feminino,10
40,2407,Não,46,Feminino,9
49,1327,Não,43,Masculino,10
50,2865,Não,50,Masculino,8
45,9202,Não,47,Feminino,9
41,8968,Sim,39,Feminino,10
48,7021,Não,32,Masculino,8
43,6087,Não,32,Masculino,9
44,8747,Sim,22,Feminino,1
52,2812,Não,50,Feminino,9
51,4402,Sim,28,Feminino,9
53,8056,Não,44,Masculino,9
57,3701,Sim,37,Masculino,10
58,3381,Sim,39,Feminino,10
55,2648,Sim,37,Masculino,9
54,9390,Não,47,Feminino,10
56,6666,Sim,32,Feminino,9
64,6664,Não,35,Feminino,2
66,6696,Não,49,Masculino,10
62,2147,Não,48,Masculino,9
67,6754,Sim,40,Masculino,9
59,6202,Não,51,Feminino,10
65,6081,Não,46,Feminino,9
60,2699,Não,33,Feminino,8
69,4849,Não,41,Feminino,10
63,8537,Sim,22,Masculino,9
70,4462,Sim,39,Feminino,10
61,4061,Não,41,Masculino,9
68,1708,Sim,33,Masculino,10
76,9088,Não,27,Feminino,3
77,9494,Não,38,Feminino,10
78,6970,Sim,38,Masculino,2
74,9552,Não,47,Masculino,10
79,2768,Sim,32,Masculino,10
73,3575,Não,35,Feminino,9
72,1374,Sim,25,Feminino,10
75,2146,Não,41,Feminino,10
71,3982,Não,42,Feminino,10
88,9221,Não,47,Feminino,9
82,3498,Não,46,Masculino,9
