ID compra,Unidade,Cidade,Data,Horário,Categoria do produto,Preço unitário,Quantidade,Método de pagamento
6,Parque das nações,Santo André,1/3/2022,15:40,Eletrônicos,"4457,9",4,Dinheiro
5,Oswaldo Cruz,São Caetano do Sul,1/3/2022,16:48,Ferramentas e construção,"115,9",1,PIX
9,Paulicéia,São Bernardo do Campo,1/3/2022,12:08,Beleza e cuidados pessoais,"68,9",2,Cartão
4,Oswaldo Cruz,São Caetano do Sul,1/3/2022,9:29,Ferramentas e construção,"80,9",5,PIX
8,Parque das nações,Santo André,1/3/2022,13:02,Beleza e cuidados pessoais,165,4,PIX
2,Oswaldo Cruz,São Caetano do Sul,1/3/2022,13:42,Eletrônicos,"5747,9",5,PIX
3,Oswaldo Cruz,São Caetano do Sul,1/3/2022,18:47,Alimentos e bebidas,"84,9",5,Cartão
1,Oswaldo Cruz,São Caetano do Sul,1/3/2022,19:13,Eletrônicos,"3465,9",1,PIX
7,Parque das nações,Santo André,1/3/2022,12:40,Livros,"75,9",5,Cartão
11,Paulicéia,São Bernardo do Campo,1/4/2022,16:50,Casa e limpeza,"13,9",5,PIX
19,Oswaldo Cruz,São Caetano do Sul,1/4/2022,15:19,Eletrônicos,"4196,9",4,PIX
13,Parque das nações,Santo André,1/4/2022,18:25,Beleza e cuidados pessoais,"84,9",3,Cartão
12,Paulicéia,São Bernardo do Campo,1/4/2022,13:44,Casa e limpeza,"40,9",3,Carteira digital
14,Parque das nações,Santo André,1/4/2022,13:22,Casa e limpeza,"93,9",3,PIX
17,Paulicéia,São Bernardo do Campo,1/4/2022,13:29,Beleza e cuidados pessoais,"188,9",3,Cartão
16,Oswaldo Cruz,São Caetano do Sul,1/4/2022,19:04,Livros,"43,9",2,Cartão
18,Parque das nações,Santo André,1/4/2022,19:09,Alimentos e bebidas,61,5,Cartão
10,Oswaldo Cruz,São Caetano do Sul,1/4/2022,16:41,Casa e limpeza,"106,9",4,Carteira digital
15,Parque das nações,Santo André,1/4/2022,14:42,Alimentos e bebidas,"85,9",4,Cartão
20,Paulicéia,São Bernardo do Campo,1/4/2022,15:09,Casa e limpeza,"195,9",1,Cartão
26,Parque das nações,Santo André,1/5/2022,12:24,Alimentos e bebidas,"68,9",5,Carteira digital
27,Parque das nações,Santo André,1/5/2022,17:37,Beleza e cuidados pessoais,"67,9",5,Dinheiro
22,Oswaldo Cruz,São Caetano do Sul,1/5/2022,13:40,Casa e limpeza,"122,9",1,Cartão
29,Oswaldo Cruz,São Caetano do Sul,1/5/2022,18:59,Casa e limpeza,173,3,Cartão
28,Paulicéia,São Bernardo do Campo,1/5/2022,9:10,Alimentos e bebidas,"56,9",5,Cartão
25,Oswaldo Cruz,São Caetano do Sul,1/5/2022,12:42,Casa e limpeza,"24,9",4,Cartão
21,Parque das nações,Santo André,1/5/2022,19:58,Ferramentas e construção,"143,9",3,Cartão
24,Oswaldo Cruz,São Caetano do Sul,1/5/2022,12:12,Casa e limpeza,"5,9",1,Cartão
23,Parque das nações,Santo André,1/5/2022,18:49,Eletrônicos,"6943,9",4,PIX
30,Paulicéia,São Bernardo do Campo,1/5/2022,16:29,Livros,"21,9",1,PIX
36,Paulicéia,São Bernardo do Campo,1/6/2022,12:49,Eletrônicos,"740,9",4,Cartão
31,Oswaldo Cruz,São Caetano do Sul,1/6/2022,11:47,Beleza e cuidados pessoais,"67,9",1,PIX
34,Parque das nações,Santo André,1/6/2022,18:48,Alimentos e bebidas,"62,9",3,Cartão
32,Paulicéia,São Bernardo do Campo,1/6/2022,18:31,Alimentos e bebidas,"13,9",4,PIX
35,Oswaldo Cruz,São Caetano do Sul,1/6/2022,16:40,Alimentos e bebidas,"41,9",3,Carteira digital
39,Paulicéia,São Bernardo do Campo,1/6/2022,10:21,Livros,"48,9",1,PIX
38,Parque das nações,Santo André,1/6/2022,18:36,Alimentos e bebidas,"62,9",2,PIX
33,Parque das nações,Santo André,1/6/2022,13:12,Casa e limpeza,"164,9",3,Cartão
37,Paulicéia,São Bernardo do Campo,1/6/2022,19:31,Eletrônicos,1754,3,Cartão
42,Paulicéia,São Bernardo do Campo,1/7/2022,11:22,Beleza e cuidados pessoais,"174,9",3,PIX
47,Parque das nações,Santo André,1/7/2022,18:46,Alimentos e bebidas,"47,9",1,PIX
46,Oswaldo Cruz,São Caetano do Sul,1/7/2022,16:27,Ferramentas e construção,135,2,Cartão
40,Oswaldo Cruz,São Caetano do Sul,1/7/2022,12:11,Papelaria e escritório,7,2,PIX
49,Oswaldo Cruz,São Caetano do Sul,1/7/2022,16:17,Ferramentas e construção,"299,9",3,Cartão
50,Oswaldo Cruz,São Caetano do Sul,1/7/2022,15:28,Alimentos e bebidas,"45,9",3,PIX
45,Oswaldo Cruz,São Caetano do Sul,1/7/2022,15:10,Ferramentas e construção,"264,9",5,Cartão
41,Paulicéia,São Bernardo do Campo,1/7/2022,13:47,Beleza e cuidados pessoais,"191,9",4,PIX
48,Parque das nações,Santo André,1/7/2022,11:53,Alimentos e bebidas,"31,9",1,Cartão
43,Paulicéia,São Bernardo do Campo,1/7/2022,17:29,Alimentos e bebidas,"95,9",3,PIX
44,Parque das nações,Santo André,1/7/2022,18:08,Beleza e cuidados pessoais,"131,9",5,Carteira digital
52,Oswaldo Cruz,São Caetano do Sul,1/8/2022,10:59,Eletrônicos,"6130,9",3,Cartão
51,Paulicéia,São Bernardo do Campo,1/8/2022,17:54,Papelaria e escritório,9,5,Cartão
53,Oswaldo Cruz,São Caetano do Sul,1/8/2022,19:08,Papelaria e escritório,"48,9",2,PIX
57,Paulicéia,São Bernardo do Campo,1/8/2022,12:25,Alimentos e bebidas,"58,9",5,PIX
58,Oswaldo Cruz,São Caetano do Sul,1/8/2022,16:29,Alimentos e bebidas,"45,9",5,PIX
55,Paulicéia,São Bernardo do Campo,1/8/2022,19:07,Eletrônicos,"238,9",1,PIX
54,Oswaldo Cruz,São Caetano do Sul,1/8/2022,18:32,Beleza e cuidados pessoais,220,5,Cartão
56,Parque das nações,Santo André,1/8/2022,13:50,Eletrônicos,"6256,9",1,PIX
64,Paulicéia,São Bernardo do Campo,1/10/2022,18:26,Alimentos e bebidas,"68,9",1,PIX
66,Paulicéia,São Bernardo do Campo,1/10/2022,18:21,Beleza e cuidados pessoais,"155,9",1,PIX
62,Oswaldo Cruz,São Caetano do Sul,1/10/2022,15:10,Beleza e cuidados pessoais,"203,9",3,PIX
67,Parque das nações,Santo André,1/10/2022,15:31,Papelaria e escritório,"6,9",3,Cartão
59,Parque das nações,Santo André,1/10/2022,11:18,Alimentos e bebidas,"99,9",4,PIX
65,Oswaldo Cruz,São Caetano do Sul,1/10/2022,15:42,Alimentos e bebidas,"27,9",4,PIX
60,Parque das nações,Santo André,1/10/2022,13:15,Papelaria e escritório,"13,9",1,PIX
69,Paulicéia,São Bernardo do Campo,1/10/2022,13:29,Casa e limpeza,"73,9",5,PIX
63,Oswaldo Cruz,São Caetano do Sul,1/10/2022,15:02,Beleza e cuidados pessoais,"124,9",1,Carteira digital
70,Parque das nações,Santo André,1/10/2022,18:11,Casa e limpeza,"168,9",2,Cartão
61,Paulicéia,São Bernardo do Campo,1/10/2022,12:30,Beleza e cuidados pessoais,"103,9",3,Cartão
68,Parque das nações,Santo André,1/10/2022,14:17,Alimentos e bebidas,"97,9",4,PIX
76,Parque das nações,Santo André,1/11/2022,9:05,Beleza e cuidados pessoais,"231,9",4,Carteira digital
77,Parque das nações,Santo André,1/11/2022,11:05,Beleza e cuidados pessoais,"197,9",4,Cartão
78,Oswaldo Cruz,São Caetano do Sul,1/11/2022,10:01,Casa e limpeza,"160,9",5,PIX
74,Paulicéia,São Bernardo do Campo,1/11/2022,10:55,Papelaria e escritório,"38,9",1,PIX
79,Oswaldo Cruz,São Caetano do Sul,1/11/2022,19:46,Casa e limpeza,"52,9",4,PIX
73,Parque das nações,Santo André,1/11/2022,17:39,Papelaria e escritório,"33,9",3,PIX
72,Paulicéia,São Bernardo do Campo,1/11/2022,9:53,Beleza e cuidados pessoais,"179,9",5,Cartão
75,Parque das nações,Santo André,1/11/2022,18:13,Casa e limpeza,"148,9",1,Cartão
71,Paulicéia,São Bernardo do Campo,1/11/2022,18:23,Beleza e cuidados pessoais,"114,9",2,PIX
88,Paulicéia,São Bernardo do Campo,1/12/2022,12:37,Beleza e cuidados pessoais,"97,9",1,Cartão
